UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,BOOK,2016,6,1,More pocket poems / selected by Bobbi Katz ; illustrated by Deborah Zemke.,,,"Childrens poetry American Juvenile literature, American poetry Juvenile literature","Dutton Children's Books,",2009.
Physical,Horizon,VIDEODISC,2016,6,3,"Matthew Bourne's Sleeping beauty [videorecording] : a gothic romance / a New Adventures production ; directed and choreographed by Matthew Bourne ; music by Pyotr Ilyich Tchaikovsky ; director, Ross MacGibbon ; Leopard, Argonon for BBC and Thirteen Productions, LLC in association with WNET.",,,"Sleeping Beauty Tale Television adaptations, Ballet, Filmed ballets, Filmed performances, Nonfiction films, Televised ballets, Cultural television programs, Documentary television programs","Deutsche Grammophon,",c2013.
Physical,Horizon,BOOK,2016,6,10,"Rutabaga the adventure chef. 2, Feasts of fury / Eric Colossal.",,"Colossal, Eric","Cooks Comic books strips etc, Cooking Comic books strips etc, Cartoons and comics, Graphic novels, Comics Graphic works","Amulet Books,",2016.
Digital,OverDrive,AUDIOBOOK,2016,6,2,A Place on Earth: A Novel (unabridged),,Wendell Berry,"Christian Fiction, Fiction, Historical Fiction",eChristian Inc,2012
Digital,OverDrive,EBOOK,2016,6,1,The History of Spain,,Peter Pierson,"History, Nonfiction",ABC-CLIO,2010
Physical,Horizon,MUSIC,2016,6,1,Most popular classical melodies [music] : for easy classical guitar / arranged by Mark Phillips.,,,Guitar music Arranged Simplified editions,"Cherry Lane,",c2009.
Digital,OverDrive,EBOOK,2016,6,1,"Blood on the Moon: Lloyd Hopkins Trilogy, Book 1",,James Ellroy,"Fiction, Mystery",Open Road Integrated Media,2012
Physical,Horizon,BOOK,2016,6,1,The trap / by Steven Arntson.,,"Arntson, Steven, 1973-","Best friends Juvenile fiction, Friendship Juvenile fiction, Brothers and sisters Juvenile fiction, Twins Juvenile fiction, Families Iowa Juvenile fiction, Iowa History 20th century Juvenile fiction, Supernatural Fiction, Best friends Fiction, Friendship Fiction, Brothers and sisters Fiction, Twins Fiction, Family life Iowa Fiction, Iowa History 20th century Fiction, Mystery and detective stories, Paranormal fiction","Houghton Mifflin Harcourt,",[2015]
Physical,Horizon,BOOK,2016,6,1,"Dan li zhuang zhe sha? : yi ben guan yu sheng ming xun huan de shu / zuo zhe, Beiqi Beiensi ; fan yi, Li Yongshi, Zhong Huiyuan.",,"Baines, Rebecca","Embryology Juvenile literature, Eggs Juvenile literature, Chinese language materials Bilingual","Hai tun chu ban she,",2010.
Physical,Horizon,BOOK,2016,6,1,"Secret Warriors. Vol. three, Wake the beast / writer, Jonathan Hickman ; artists, Alessandro Vitti & Gianluca Gugliotta ; color artist, Sunny Gho of IFS ; letterer, Art Monkeys' Dave Lanphear, .",,"Hickman, Jonathan","Fury Nick Fictitious character Comic books strips etc, Superhero comic books strips etc, Science fiction comic books strips etc, Graphic novels","Marvel Worldwide, Inc.,",2010.
Physical,Horizon,BOOK,2016,6,1,Psychedelic : optical and visionary art since the 1960s / David S. Rubin ; with contributions from Robert C. Morgan and Daniel Pinchbeck.,,"Rubin, David S., 1949-","Psychedelic art Exhibitions, Art Modern 20th century Exhibitions, Art Modern 21st century Exhibitions","San Antonio Museum of Art ; In association with the MIT Press,",c2010.
Digital,OverDrive,EBOOK,2016,6,3,The Daredevil Snared,,STEPHANIE LAURENS,"Fiction, Historical Fiction, Romance","Harlequin Enterprises, Ltd.",2016
Digital,Freegal,SONG,2016,6,1,Punch Drunk,,Incubus,,,
Physical,Horizon,VIDEODISC,2016,6,3,"Yellowstone [videorecording] : everything else is just a movie / Destination Cinema, Inc. ; written and directed by Kieth Merrill ; produced by Richard W. James and Kieth Merrill.",,,"Yellowstone National Park, Documentary films","CAV Distributing,",c2005.
Digital,OverDrive,EBOOK,2016,6,1,"The Midnight House: John Wells Series, Book 4",,Alex Berenson,"Fiction, Thriller","Penguin Group (USA), Inc.",2010
Digital,OverDrive,AUDIOBOOK,2016,6,1,Dear Girls Above Me: Inspired by a True Story (unabridged),,Charles McDowell,"Biography & Autobiography, Family & Relationships, Humor (Nonfiction), Nonfiction",Books on Tape,2013
Physical,Horizon,BOOK,2016,6,2,Where is the Parthenon? / by Roberta Edwards ; illustrated by John Hinderliter.,,"Edwards, Roberta","Parthenon Athens Greece Juvenile literature, Athens Greece Antiquities Juvenile literature, Athens Greece Buildings structures etc Juvenile literature","Grosset & Dunlap,",2016.
Physical,Horizon,SOUNDDISC,2016,6,2,Water for elephants [sound recording] / Sara Gruen.,,"Gruen, Sara","Circus Fiction, Depressions Fiction, Circus performers Fiction, Historical fiction, Love stories","HighBridge,",c2006.
Physical,Horizon,BOOK,2016,6,2,"Nursies when the sun shines / text by Katherine Havener, illustrations by Sara Burrier.",,"Havener, Katherine.","Infants Weaning Juvenile fiction, Breastfeeding Juvenile fiction, Toddlers Juvenile fiction, Day Fiction, Night Juvenile fiction","Elea Press,",c2013.
Physical,Horizon,BOOK,2016,6,1,Think big : overcoming obstacles with optimism / Jennifer Arnold and Bill Klein.,,"Arnold, Jennifer, 1974-","Arnold Jennifer 1974, Klein Bill 1974, Television personalities United States Biography, Conduct of life, Success, Motivation Psychology, BIOGRAPHY AUTOBIOGRAPHY Rich Famous, SELF HELP Motivational Inspirational","Howard Books, an imprint of Simon & Schuster, Inc.,",2016.
Digital,Freegal,SONG,2016,6,1,Are You A Beatle Or A Rolling Stone,,Delaney Bramlett,,,
Physical,Horizon,VIDEODISC,2016,6,4,MI-5. Volume 4 [videorecording] / a Kudos Film and Television production.,,,"Great Britain MI5 Drama, Intelligence service Great Britain Drama, Thrillers Television programs, Video recordings for the hearing impaired","BBC Video ; Distributed by Warner Home Video,",c2007.
Digital,OverDrive,AUDIOBOOK,2016,6,2,Ladies of the Lake,,Haywood Smith,"Fiction, Literature",Macmillan Audio,2015
Physical,Horizon,VIDEODISC,2016,6,1,Are you being served? Volume 5 [videorecording] / BBC ; written by Jeremy Lloyd and David Croft ; produced by David Croft ; directed by Ray Butt.,,,"Clerks Retail trade England Drama, Department stores England Drama, Television series, Fiction television programs, Television comedies, Video recordings for the hearing impaired","BBC Video ; Warner Home Video,",c2002.
Digital,OverDrive,AUDIOBOOK,2016,6,1,"Hemlock Grove: or, The Wise Wolf (unabridged)",,Brian McGreevy,"Fiction, Horror","Blackstone Audio, Inc.",2012
Physical,Horizon,BOOK,2016,6,4,Paleo Italian cooking : authentic Italian gluten-free family recipes / Cindy Barbieri ; forewords by Robb Wolf and Bobby Soper ; photography by Nicole Alekson.,,"Barbieri, Cindy, 1964-","Cooking Italian, Gluten free diet Recipes, Low carbohydrate diet Recipes, High protein diet Recipes, Prehistoric peoples Food, Cookbooks","Tuttle Publishing,",[2015]
Physical,Horizon,BOOK,2016,6,2,Seeking Sicily : a cultural journey through myth and reality in the heart of the Mediterranean / John Keahey.,,"Keahey, John.","Sicily Italy Description and travel, Keahey John Travel Italy Sicily, Sicily Italy Social life and customs, National characteristics Sicilian, Sicily Italy Intellectual life","Thomas Dunne Books/St. Martin's Press,",2011.
Physical,Horizon,BOOK,2016,6,3,I'm an alien and I want to go home / Jo Franklin ; illustrated by Marty Kelley.,,"Franklin, Jo.","Popularity Juvenile fiction, Friendship Juvenile fiction, Identity Psychology Juvenile fiction, Popularity Fiction, Friendship Fiction, Identity Fiction, Humorous stories","Clarion Books,",2015.
Physical,Horizon,BOOK,2016,6,1,The mouse on the moon.,,"Wibberley, Leonard, 1915-1983",,"Morrow,",1962.
Digital,OverDrive,AUDIOBOOK,2016,6,1,Respect,,David Ritz,"African American Nonfiction, Biography & Autobiography, Nonfiction, Performing Arts",Hachette Audio,2014
Digital,OverDrive,EBOOK,2016,6,2,A Writer's Diary,,Virginia Woolf,"Biography & Autobiography, Nonfiction",Houghton Mifflin Harcourt Trade and Reference,2011
Physical,Horizon,BOOK,2016,6,3,Doctor White / Jane Goodall ; with pictures by Julie Litty.,,"Goodall, Jane, 1934-","Working dogs Juvenile fiction, Dogs Juvenile fiction, Medical fiction, Sick Juvenile fiction, Sick children Juvenile fiction","Michael Neugebauer Publishing Ltd.,","2014, c1999."
Digital,OverDrive,AUDIOBOOK,2016,6,2,Where Late the Sweet Birds Sang,,Kate Wilhelm,"Fiction, Science Fiction & Fantasy","Blackstone Audio, Inc.",2010
Digital,OverDrive,AUDIOBOOK,2016,6,1,"The Belly of Paris: Rougon-Macquart Series, Book 3 (unabridged)",,Émile Zola,"Classic Literature, Fiction","Blackstone Audio, Inc.",2012
Physical,Horizon,BOOK,2016,6,8,I'll teach my dog 100 words / by Michael Frith ; illustrated by P. D. Eastman.,,"Frith, Michael K.","Dogs Fiction, Stories in rhyme","Beginner Books,",1973.
Physical,Horizon,SOUNDDISC,2016,6,3,M is for magic [sound recording] / Neil Gaiman.,,"Gaiman, Neil",Short stories,"HarperCollins,",p2007.
Physical,Horizon,SOUNDDISC,2016,6,4,The paying guests [sound recording] / Sarah Waters.,,"Waters, Sarah, 1966-","Widows Fiction, Entertaining Fiction, Hospitality Fiction, Boardinghouses England London Fiction, London England Fiction, Audiobooks, Historical fiction","Books on Tape,",p2014.
Physical,Horizon,BOOK,2016,6,1,Spectrum writing. Grade 6.,,,English language Composition and exercises Study and teaching Elementary United States,"Frank Schaffer Publications,",c2007.
Digital,OverDrive,EBOOK,2016,6,1,"The Greatest War, Volume I: From Pearl Harbor to the Kasserine Pass",,Gerald Astor,"History, Military, Nonfiction","Hachette Digital, Inc.",2013
Digital,OverDrive,EBOOK,2016,6,5,Sweet and Dirty,,Christina Crooks,"Erotic Literature, Fiction","Random House, Inc.",2010
Physical,Horizon,VIDEODISC,2016,6,9,Scooby-Doo where are you! The complete 1st and 2nd seasons [videorecording] / a Hanna-Barbera production ; produced and directed by Joseph Barbera and William Hanna.,,,"Scooby Doo Fictitious character Juvenile drama, Detective and mystery television programs, Animated television programs, Childrens television programs, Fiction television programs, Television series","Warner Home Video,",[2004]
Physical,Horizon,BOOK,2016,6,1,History's people : personalities and the past / Margaret MacMillan.,,"MacMillan, Margaret, 1943-","Biography, World history","House of Anansi Press,",2015.
